track_id,track_name,artist_name,streams,artist_id,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres,predicted_genre_id,predicted_genre,predicted_genre_proba,genre_indie_proba,genre_pop_proba,genre_rock_proba,genre_soul_proba
2xCkiGqGMkAIg6fQTag51C,Sino,Unique Salonga,90,30mZI7Hw2MhoarTVYxfyZM,280426,0.676,0.43,11.0,-10.563,1.0,0.0232,0.169,0.0309,0.109,0.226,104.982,"['opm', 'pinoy city pop', 'pinoy indie']",0,indie,0.45611925135919035,0.45611925135919035,0.02769805459226764,0.3845746101860936,0.13160808386244824
0HAG6nIiEKd75yGpovuSJQ,Isa lang,Arthur Nery,90,7uDdl5V5AETSFY7K3muu22,269256,0.429,0.464,6.0,-8.445,0.0,0.0719,0.783,0.0,0.0846,0.375,121.17,"['cdo indie', 'opm', 'p-pop']",3,soul,0.45377511100060025,0.12914529715476442,0.22807140475438514,0.18900818709025033,0.45377511100060025
5d9Rka4T0szdC1MobhtXrV,Paninindigan Kita,Ben&Ben,90,4DAcJXcjX0zlQAZAPAx4Zb,312234,0.624,0.596,4.0,-9.288,1.0,0.0308,0.107,0.0,0.357,0.75,113.204,['opm'],2,rock,0.5736443724554992,0.08817525102321967,0.07561328648848743,0.5736443724554992,0.2625670900327937
1oYQtNQUxSODedcc5hPmp9,Muli,Ace Banzuelo,90,3f0X043zSojego7Qn4Yi6U,290004,0.482,0.881,11.0,-3.62,0.0,0.0533,0.0128,0.0,0.103,0.281,144.02,"['opm', 'p-pop', 'pinoy indie', 'pinoy r&b', 'tagalog rap']",2,rock,0.5531224474459223,0.33127963827128404,0.09666880850009939,0.5531224474459223,0.018929105782694276
4mc3rUoMwwiNTHA4al9nNd,Fallen,Lola Amour,90,29zSTMejPhY0m7kwNQ9SPI,201806,0.652,0.76,6.0,-4.098,0.0,0.0406,0.221,9.09e-05,0.147,0.615,98.079,"['opm', 'pinoy indie']",2,rock,0.3785401352748009,0.27393517781264815,0.23080310608159266,0.3785401352748009,0.11672158083095824
2e7iqtA42EPXTtiiAlblC1,"Babalik Sa'yo (from ""2 Good 2 Be True"")",Moira Dela Torre,90,0rZRTXEmmPmx6gt92tBqIc,229711,0.515,0.65,1.0,-7.798,0.0,0.093,0.168,0.0,0.33,0.695,157.866,['opm'],3,soul,0.42296652433692117,0.14459475558840174,0.15398186098363836,0.2784568590910388,0.42296652433692117
0kDeE8TezXDY1QadpjAQQq,Bahala Na,Kenaniah,90,2owtRYReKCG1n2AAS5AcpS,228688,0.874,0.404,11.0,-11.168,1.0,0.0861,0.424,0.000101,0.0959,0.762,122.001,"['opm', 'pinoy indie']",3,soul,0.7177834314588428,0.08326842835161978,0.05316543137706164,0.1457827088124758,0.7177834314588428
4AULw1VRyJP17zMvwgTIUs,Umaasa,Calein,90,0DpLoyGVbhOHNR3ht2oO9y,335624,0.627,0.433,9.0,-9.868,1.0,0.0232,0.295,0.393,0.332,0.353,96.016,"['pinoy city pop', 'pinoy indie']",0,indie,0.5273153306276285,0.5273153306276285,0.022599098903931886,0.3314920258622937,0.11859354460614596
4z7xboLD3PqY9dOUscS2ly,Ikaw Pa Rin,mrld,90,31fsDbpNPKe346urriO4ma,191009,0.412,0.374,4.0,-11.538,1.0,0.0307,0.692,7.38e-06,0.168,0.306,108.926,['opm'],3,soul,0.5142705349891955,0.11285902703622357,0.054103530751764176,0.3187669072228168,0.5142705349891955
3h8uWt8HNyDNubPSEBgTPG,Yakap,Zack Tabudlo,90,67IN4cLJ7798gUapyZlmac,178947,0.738,0.39,8.0,-8.437,1.0,0.0334,0.409,0.0,0.107,0.547,113.979,"['acoustic opm', 'p-pop', 'pop']",3,soul,0.40044428038955715,0.13255495291257077,0.16372429688623918,0.30327646981163314,0.40044428038955715
0uZFcsx96wzbixsULmrg8o,Pasilyo,SunKissed Lola,90,4bLLB1dbsRVUTcMpnDGDO2,270250,0.71,0.61,2.0,-4.674,1.0,0.0351,0.415,2.67e-05,0.181,0.404,120.032,['pinoy indie rock'],1,pop,0.42743723889825636,0.14108748443889907,0.42743723889825636,0.3023518972314344,0.1291233794314105
2vnd3JVvcLs2LxRFwC6mKu,City Girl,Shanti Dope,85,6ogIjp0fsbUxlqy9q2rvrT,188976,0.684,0.471,0.0,-9.995,1.0,0.0401,0.403,2.96e-05,0.113,0.247,127.026,"['opm', 'pinoy hip hop', 'pinoy r&b', 'pinoy trap', 'tagalog rap']",3,soul,0.42250877352213395,0.19597147134477383,0.0895423444025618,0.29197741073053035,0.42250877352213395
47OFMuRu5lzJHRbtEXPBbs,Uhaw (Tayong Lahat),Dilaw,90213,6Dp4LInLyMVA2qhRqQ6AGL,241185,0.635,0.724,5.0,-6.662,1.0,0.0716,0.28,4e-06,0.105,0.316,135.927,opm,1,pop,0.2819127131637871,0.24523621049798008,0.2819127131637871,0.26747568590826715,0.2053753904299658
